city,region,address,price,price_for_square_metre,total_area,floor,num_of_floors,num_of_rooms,subway,apartment_complex
Ірпінь,,"вул. Григорія Сковороди, 23",46 891 $,32 978 грн,59 м²,9,10,2,,ЖК Фортуна-2
Вінниця,Замостянський,вул. Левка Лук’яненка(Ватутіна),43 000 $,1 265 $,34 м²,1,10,1,,ЖК Східна Перлина
Київ,Подільський,"вул. Набережно-Хрещатицька, 21",184 680 $,3 800 $,48.6 м²,1,6,1,Поштова площа,ЖК Illinsky House
Львів,Галицький,"вул. Лемківська, 9 корпус 6",136 900 $,2 094 $,65.37 м²,4,4,2,,
Ірпінь,,"вул. Ветеранів Афганістану, 18Д",51 000 $,895 $,57 м²,9,9,2,,
Івано-Франківськ,Пасічна,вул. Тролейбусна,69 900 $,903 $,77.4 м²,3,10,3,,
Хмельницький,Південно-Західний,"вул. Інститутська, 6/1А",42 500 $,874 $,48.6 м²,5,10,1,,
Тернопіль,Бам,вул. Симоненка Василя,37 800 $,564 $,67 м²,2,9,3,,
Львів,Сихівський,"вул. Зелена, 204Д",87 500 $,2 303 $,38.6 м²,10,10,1,,ЖК Avalon Zelena Street
Київ,Дніпровський,вул. Вінстона Черчилля(Червоноткацька),78 500 $,1 120 $,70.1 м²,5,5,4,Дарниця,
Тернопіль,,"вул. Смакули, 9Б, 9Г, 9Д",41 928 $,723 $,58 м²,1,12,1,,ЖК Київський
Київ,Шевченківський,"вул. Павлівська, 26/41",205 000 $,2 470 $,84.2 м²,5,6,2,Лук'янівська,
Львів,Сихівський,"вул. Зелена, 269М",110 000 $,1 642 $,67 м²,12,16,2,,ЖК Яскравий Львів
Івано-Франківськ,Опришівці,"вул. Отця Блавацького, 18/16",32 500 $,813 $,39.8 м²,7,9,1,,ЖК Опришівська Слобода
Ірпінь,,"вул. Щаслива, 15А",28 900 $,1 032 $,28 м²,3,5,1,,ЖК Щасливий
Тернопіль,,"вул. Смакули, 7А",39 108 $,723 $,54.1 м²,1,12,1,,ЖК Київський
Київ,Подільський,"вул. Набережно-Хрещатицька, 21",329 840 $,3 800 $,86.8 м²,2,6,2,Поштова площа,ЖК Illinsky House
Київ,Подільський,"вул. Набережно-Хрещатицька, 21",318 539 $,2 702 $,117.9 м²,3,8,3,Поштова площа,ЖК Illinsky House
Івано-Франківськ,Центр,"вул. Ленкавського, 34",111 550 $,1 150 $,97 м²,6,16,2,,ЖК Manhattan
Бровари,Масив,"вул. Симона Петлюри, 36А",56 000 $,1 202 $,46.6 м²,14,21,2,,"ЖК вул. Симона Петлюри (Черняховського), 36, 36а, 36б"
Київ,Голосіївський,"вул. Велика Васильківська, 102У",180 355 $,3 500 $,51.53 м²,1,20,1,Палац Україна,ЖК Montreal House
Бровари,Торгмаш,"вул. Олімпійська, 2А",68 000 $,938 $,72.5 м²,8,10,3,,
Ірпінь,,"вул. Достоєвського, 19",32 000 $,766 $,41.8 м²,4,10,1,,ЖК Синергія Сіті
Київ,Дарницький,"вул. Урлівська, 40",59 000 $,1 229 $,48 м²,3,25,1,Осокорки,
Київ,Деснянський,"вул. Миколи Закревського, 63",40 000 $,1 000 $,40 м²,1,10,1,,
Ірпінь,,"вул. Василя Стуса(Пушкінська), 60Н",57 000 $,1 469 $,38.8 м²,2,3,1,,ЖК Талісман
Дніпро,Центральний,"просп. Поля Олександра, 72",85 000 $,1 491 $,57 м²,1,5,3,,
Івано-Франківськ,Центр,"вул. Височана Семена, 18 корпус 15",60 000 $,1 395 $,43.2 м²,5,14,1,,ЖК Містечко Центральне
Дніпро,Амур-Нижньодніпровський,вул. Радистів,32 000 $,646 $,48.7 м²,2,3,2,,
Ірпінь,,вул. Григорія Сковороди,44 900 $,1 182 $,38 м²,10,10,2,,ЖК Фортуна-2
Київ,Голосіївський,"вул. Кустанайська, 13",189 000 $,3 048 $,62 м²,3,17,2,Деміївська,ЖК West House
Київ,Голосіївський,"вул. Велика Васильківська, 102У",199 504 $,3 700 $,53.92 м²,1,20,1,Палац Україна,ЖК Montreal House
Київ,Деснянський,"вул. Шолом-Алейхема, 19",55 000 $,887 $,62 м²,6,9,3,Лісова,
Київ,Дніпровський,"вул. Ентузіастів, 7/2",63 000 $,1 240 $,50.8 м²,8,9,2,Лівобережна,
Тернопіль,Бам,вул. Київська,71 500 $,993 $,72 м²,4,11,2,,ЖК Київський
Бровари,Зелений Попугай,"вул. Михайла Грушевського, 3Б",78 000 $,1 110 $,70.3 м²,7,10,3,,
Тернопіль,,"вул. Смакули, 7А",41 133 $,723 $,56.9 м²,1,12,1,,ЖК Київський
Київ,Голосіївський,"вул. Велика Васильківська, 102У",188 748 $,3 600 $,52.43 м²,1,20,1,Палац Україна,ЖК Montreal House
Вінниця,Ленінський,"вул. Тимофіївська, 16",71 000 $,983 $,72.2 м²,2,7,2,,
Тернопіль,,"вул. Довженка Олександра, 32",34 860 $,700 $,49.8 м²,2,9,1,,ЖК Східна Брама
Ірпінь,,"вул. Джерельна, 4",44 000 $,1 152 $,38.2 м²,3,5,1,,ЖК Фортуна-2
Київ,Солом'янський,"вул. Миколи Шепелєва, 4",63 499 $,1 148 $,55.3 м²,1,4,3,Берестейська,
Київ,Подільський,"просп. Василя Порика, 9В",55 000 $,1 136 $,48.4 м²,12,16,1,,
Київ,Голосіївський,"вул. Велика Васильківська, 102У",203 019 $,3 100 $,65.49 м²,2,20,2,Палац Україна,ЖК Montreal House
Ірпінь,,"вул. Українська, 85В",65 000 $,1 226 $,53.2 м²,2,5,2,,"ЖК вул. Українська, 85в"
Дніпро,Амур-Нижньодніпровський,вул. Мольєра,35 615 $,850 $,41.9 м²,1,7,1,,
Київ,Голосіївський,"вул. Велика Васильківська, 102У",225 742 $,2 200 $,102.61 м²,2,11,2,Палац Україна,ЖК Montreal House
Ірпінь,,вул. Білокур(Курська),36 000 $,1 062 $,33.9 м²,4,5,1,,ЖК Green Yard
Ірпінь,,"вул. Білокур(Курська), 10",36 000 $,1 062 $,33.9 м²,4,5,1,,ЖК Green Yard
Дніпро,Соборний,"вул. Вернадського Володимира, 7",46 000 $,979 $,47 м²,1,5,2,,
Дніпро,Центральний,"вул. Старокозацька(Комсомольська), 54",115 000 $,1 643 $,70 м²,3,12,2,,
Ірпінь,,"вул. Григорія Сковороди, 11/8",69 000 $,1 386 $,49.8 м²,7,10,2,,ЖК Синергія-3
Київ,Голосіївський,"вул. Михайла Максимовича, 24В",113 000 $,2 741 $,41.22 м²,13,21,1,Васильківська,ЖК Нова Англія
Одеса,,"вул. Дача Ковалевського, 5",57 461 $,1 045 $,55 м²,1,26,1,,ЖК Посейдон
Дніпро,,"вул. Воскресенська, 27",170 000 $,1 000 $,170 м²,2,3,4,,
Тернопіль,,"вул. Київська, 9Б-9Г",39 133 $,699 $,56 м²,2,12,2,,ЖК Київський
Дніпро,Індустріальний,"пров. Фестивальний, 16",32 000 $,816 $,39.2 м²,9,14,1,,
Ірпінь,,вул. Університетська(Карла Маркса),85 000 $,1 090 $,78 м²,5,16,3,,ЖК Центральний-2
Київ,Дарницький,наб. Дніпровська,73 718 $,1 043 $,70.67 м²,2,26,2,Осокорки,ЖК Great
Тернопіль,Східний,вул. Довженка Олександра,43 500 $,621 $,70 м²,3,9,2,,ЖК Східна Брама
Ірпінь,,вул. Григорія Сковороди,80 000 $,1 399 $,57.2 м²,5,10,2,,ЖК Фортуна-2
Ірпінь,,"вул. Олени Теліги(Лермонтова), 2Д",69 000 $,1 533 $,45 м²,13,15,1,,ЖК Алфавіт
Ірпінь,,"вул. Григорія Сковороди, 23",31 887 $,36 753 грн,36 м²,8,10,1,,ЖК Фортуна-2
Ірпінь,,"вул. Достоєвського, 1Б/19",26 300 $,804 $,32.7 м²,4,9,1,,ЖК Синергія Сіті
Дніпро,Соборний,"вул. Євпаторійська, 104",45 000 $,693 $,64.9 м²,1,9,3,,
Вінниця,Ленінський,вул. Молодіжна,54 500 $,1 185 $,46 м²,8,9,1,,
Ірпінь,,вул. Університетська(Карла Маркса),60 000 $,1 277 $,47 м²,15,16,1,,ЖК Irpin City
Київ,Дарницький,наб. Дніпровська,70 119 $,996 $,70.39 м²,2,26,2,Осокорки,ЖК Great
Одеса,Хаджибейський,"вул. Ріхтера Святослава, 148/2",32 000 $,722 $,44.3 м²,3,5,2,,
Тернопіль,Бам,вул. Київська,60 000 $,1 091 $,55 м²,2,11,2,,ЖК Київський
Київ,Дарницький,"наб. Дніпровська, 23",119 000 $,1 133 $,105 м²,21,22,3,Осокорки,"ЖК вул. Дніпровська набережна, 19, 19а, 19в, 23, 25"
Хмельницький,,вул. Озерна,48 527 $,679 $,71.49 м²,2,10,2,,ЖК Едем
Одеса,,"вул. Дача Ковалевського, 5",76 190 $,950 $,80.2 м²,3,26,3,,ЖК Посейдон
Ірпінь,,"вул. Кобилянської Ольги, 1В/19",28 281 $,33 300 грн,35.24 м²,7,9,1,,ЖК Синергія Сіті
Київ,Деснянський,"вул. Оноре де Бальзака, 63",38 500 $,917 $,42 м²,2,16,1,,
Миколаїв,Інгульський,вул. Театральна,28 000 $,461 $,60.8 м²,3,5,3,,
Ірпінь,,вул. Соборна,38 000 $,826 $,46 м²,8,12,2,,ЖК Royal Park
Вінниця,Замостянський,вул. Ісмаїла Гаспринського(Жуковського),31 500 $,1 050 $,30 м²,9,9,1,,
Тернопіль,Центр,вул. Енергетична,47 300 $,1 100 $,43 м²,7,10,1,,ЖК Енергія
Ірпінь,,"вул. Миколи Сингаївського(Новооскольська), 2Б/1",30 000 $,1 364 $,22 м²,2,5,1,,ЖК Бургундія
Ірпінь,,вул. Достоєвського,24 810 $,1 128 $,22 м²,1,7,1,,ЖК Синергія Сіті
Київ,Дарницький,наб. Дніпровська,79 724 $,906 $,87.96 м²,3,26,3,Осокорки,ЖК Great
Миколаїв,Заводський,вул. Генерала Карпенка,23 500 $,534 $,44 м²,5,5,3,,
Чернівці,Першотравневий,вул. Авангардна,69 900 $,999 $,69.5 м²,2,5,3,,
Одеса,Пересипський,"вул. Михайла Грушевського, 30В",65 000 $,1 142 $,56.9 м²,17,17,2,,ЖК Одеські традиції
Миколаїв,Інгульський,"вул. Космонавтів, 74",26 000 $,448 $,58.1 м²,4,9,3,,
Дніпро,Амур-Нижньодніпровський,вул. Мольєра,42 149 $,1 130 $,37.3 м²,1,7,1,,
Тернопіль,Бам,вул. Київська,48 000 $,750 $,64 м²,9,9,3,,
Тернопіль,,"вул. Київська, 9Д",60 723 $,723 $,84 м²,2,12,2,,ЖК Київський
Ірпінь,,"вул. Миколи Сингаївського(Новооскольська), 2Б/6",34 000 $,1 308 $,26 м²,3,5,1,,ЖК Бургундія
Одеса,Приморський,"вул. Авдєєва-Чорноморського, 7",49 300 $,1 233 $,40 м²,4,6,1,,ЖК Простір на 9-й Фонтана
Тернопіль,Бам,вул. Київська,65 000 $,1 032 $,63 м²,2,10,3,,ЖК вул. Київська-Смакули
Ірпінь,,"вул. Білокур(Курська), 6Б",42 000 $,1 235 $,33.8 м²,5,5,1,,ЖК Green Yard
Миколаїв,Центральний,"просп. Центральний, 195",55 000 $,1 146 $,48 м²,7,9,2,,
Київ,Дарницький,наб. Дніпровська,151 383 $,1 138 $,133 м²,4,26,4,Осокорки,ЖК Great
Ірпінь,,вул. Достоєвського,30 600 $,813 $,37.62 м²,5,9,1,,ЖК Синергія Сіті
Київ,Дарницький,наб. Дніпровська,138 416 $,876 $,158 м²,4,26,4,Осокорки,ЖК Great
Тернопіль,Старий парк,"вул. Лисенка, 8",59 000 $,1 297 $,45.5 м²,6,6,1,,
Миколаїв,Корабельний,"просп. Корабелів, 7",33 000 $,559 $,59.1 м²,3,5,3,,
Софіївська Борщагівка,,"вул. Волошкова, 74",59 000 $,1 453 $,40.6 м²,1,5,1,,ЖК Щасливий
Ірпінь,,"вул. Григорія Сковороди, 11/5",45 000 $,1 077 $,41.8 м²,9,10,1,,ЖК Синергія-3
Дніпро,Амур-Нижньодніпровський,вул. Мольєра,32 431 $,1 130 $,28.7 м²,1,7,1,,
Київ,Дарницький,наб. Дніпровська,165 635 $,1 164 $,142.31 м²,4,26,4,Осокорки,ЖК Great
Хмельницький,,вул. Озерна,48 387 $,652 $,74.18 м²,2,15,2,,ЖК Едем
